Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,eigencentrality,indegree,outdegree,Degree
Gabon,Gabon,,0,0,0,0,4,0.002586,0.010852,2,0,2
Guinea,Guinea,,1,1,1,0.666667,5,0.002173,0.019002,3,1,4
Madagascar,Madagascar,,0,0,0,0,4,0.009667,0.080439,2,0,2
Mali,Mali,,0,0,0,0,4,0.001989,0.007013,1,0,1
Mauritania,Mauritania,,0,0,0,0,4,0.001989,0.007013,1,0,1
Mozambique,Mozambique,,5,0.285012,0.305172,0,3,0.00784,0.110388,4,1,5
Republic of Congo,Republic of Congo,,0,0,0,0,4,0.001989,0.007013,1,0,1
Seychelles,Seychelles,,0,0,0,0,3,0.002112,0.008072,2,0,2
Sudan,Sudan,,0,0,0,0,2,0.002086,0.012543,2,0,2
Togo,Togo,,1,1,1,52.249517,5,0.002852,0.035055,6,2,8
Uganda,Uganda,,0,0,0,0,2,0.005589,0.140126,4,0,4
Zambia,Zambia,,6,0.224806,0.240517,0.2,2,0.002428,0.008626,2,1,3
Ghana,Ghana,,0,0,0,0,5,0.006749,0.07122,11,1,12
Gambia,Gambia,,0,0,0,0,3,0.002104,0.023808,2,0,2
Namibia,Namibia,,0,0,0,0,3,0.01144,0.138842,7,0,7
Rwanda,Rwanda,,0,0,0,0,2,0.015355,0.298466,11,0,11
South Sudan,South Sudan,,1,1,1,0,2,0.001949,0,0,1,1
Fiji,Fiji,,1,1,1,0,2,0.001949,0,0,1,1
Benin,Benin,,0,0,0,0,5,0.005257,0.012208,3,0,3
Côte d'Ivoire,Côte d'Ivoire,,1,1,1,0,5,0.001949,0,0,1,1
Malawi,Malawi,,6,0.224568,0.240171,0,2,0.001949,0,0,1,1
Comoros,Comoros,,6,0.224568,0.240171,0,2,0.001949,0,0,1,1
Kazakhstan,Kazakhstan,,5,0.287129,0.311638,231,3,0.00533,0.034345,7,2,9
Belarus,Belarus,,6,0.225,0.243447,0,3,0.001949,0,0,2,2
Kyrgyzstan,Kyrgyzstan,,6,0.224568,0.239174,0,3,0.001949,0,0,1,1
Bangladesh,Bangladesh,,5,0.285366,0.305413,0,2,0.001949,0,0,1,1
Bahamas,Bahamas,,0,0,0,0,0,0.007189,0.214288,5,0,5
Bolivia,Bolivia,,6,0.232465,0.251437,2.061111,4,0.010418,0.382031,12,2,14
Panama,Panama,,5,0.303896,0.350285,0,4,0.001949,0,0,5,5
Europe,Europe,,6,0.238776,0.26567,0,3,0.001949,0,0,1,1
Nicaragua,Nicaragua,,6,0.233068,0.252137,0,4,0.001949,0,0,1,1
Haiti,Haiti,,5,0.301546,0.337464,0,0,0.001949,0,0,2,2
